,ticker,weighted_score,sentiment_score,iv_change,price_change_pct,openInterest_previous,normalized_score,sentiment,sector
18,IBB,34.28571428571428,0.00878220140515223,-0.020495579166099672,0.00878220140515223,92424.0,0.0003709611603665095,BULLISH,Biotech
0,AAPL,972.4302788844619,0.012774964252291934,0.003894993012549059,0.012774964252291934,4897245.0,0.00019856680212741284,BULLISH,Technology
26,MRNA,80.01835283321863,0.05627169678848005,0.0026235929310472698,-0.05627169678848005,795661.0,0.00010056839889503021,BULLISH,Biotech
37,QQQ,361.86770428015564,3.3243455746802195e-05,0.0008322454096562275,-3.3243455746802195e-05,8580202.0,4.2174730184692116e-05,BULLISH,Index
40,RIOT,41.034482758620676,0.013476020610384458,0.016172201486170972,-0.013476020610384458,1188180.0,3.453557773958548e-05,BULLISH,Crypto
11,DIA,7.22513089005235,0.0028102414974921627,-0.00973874927474756,0.0028102414974921627,368726.0,1.959485062092814e-05,BULLISH,Index
15,GOOGL,53.333333333333336,0.02982848620432513,-0.014463001392629059,-0.02982848620432513,3295165.0,1.618533012256847e-05,BULLISH,Technology
19,IWM,40.71428571428572,0.011828671038432808,0.003325179667941088,0.011828671038432808,11911315.0,3.418118462511127e-06,BULLISH,Index
3,AMD,0.0,0.0,0.007989247374846555,0.0,3625926.0,0.0,BEARISH,Semiconductor
2,ADBE,0.0,0.0,-0.005473311238985564,0.0,302400.0,0.0,BEARISH,Software
1,ACHR,0.0,0.0,0.051935676838932715,0.0,485039.0,0.0,BEARISH,eVTOL
9,CSIQ,0.0,0.0,-0.019308367879678903,0.0,42649.0,0.0,BEARISH,Clean Energy
14,FSLR,0.0,0.0,-0.0014730285811561574,0.0,519215.0,0.0,BEARISH,Clean Energy
13,ENVX,0.0,0.0,-0.011224813575850898,0.0,420596.0,0.0,BEARISH,Clean Energy
10,CVNA,0.0,0.0,0.01269141828930513,0.0,309949.0,0.0,BEARISH,Auto Retail
12,DIS,0.0,0.0,0.004246455745585482,0.0,877277.0,0.0,BEARISH,Entertainment
17,GS,0.0,0.0,-0.0034567702041583106,0.0,272663.0,0.0,BEARISH,Financials
16,GRAB,0.0,0.0,0.01684385477546513,0.0,946931.0,0.0,BEARISH,Rideshare
8,CPRT,0.0,0.0,-0.03667621735699408,0.0,41864.0,0.0,BEARISH,Auto Services
4,AMZN,0.0,0.0,0.0010052592957039198,0.0,4022248.0,0.0,BEARISH,Other
35,PLTR,0.0,0.0,0.014147760536288937,0.0,3248448.0,0.0,BEARISH,Software
32,NVAX,0.0,0.0,0.04184377058650984,0.0,273058.0,0.0,BEARISH,Biotech
22,MA,0.0,0.0,-0.004927221905226401,0.0,132555.0,0.0,BEARISH,Financials
21,JPM,0.0,0.0,-0.006155120240980753,0.0,793173.0,0.0,BEARISH,Financials
23,MARA,0.0,0.0,0.014648535333163496,0.0,1641703.0,0.0,BEARISH,Crypto
24,MBLY,0.0,0.0,0.006131219607791394,0.0,331863.0,0.0,BEARISH,Automotive Tech
30,NBIS,0.0,0.0,0.014874891369057699,0.0,374058.0,0.0,BEARISH,Technology
29,MU,0.0,0.0,-0.007624157738127529,0.0,1923945.0,0.0,BEARISH,Semiconductor
34,PDYN,0.0,0.0,-0.0033021424975837473,0.0,6714.0,0.0,BEARISH,Technology
43,SGI,0.0,0.0,0.004371262439989863,0.0,18908.0,0.0,BEARISH,Technology
41,ROKU,0.0,0.0,0.002873071226355145,0.0,221965.0,0.0,BEARISH,Technology
42,SERV,0.0,0.0,-0.034567462216659336,0.0,80391.0,0.0,BEARISH,Services
36,PM,0.0,0.0,-0.006341815231272718,0.0,231203.0,0.0,BEARISH,Consumer Goods
38,RBLX,0.0,0.0,-0.0028906398535394067,0.0,433489.0,0.0,BEARISH,Software
20,JOBY,0.0,0.0,-0.02090287313029993,0.0,199421.0,0.0,BEARISH,eVTOL
6,CAVA,0.0,0.0,-0.0005161281843980157,0.0,152713.0,0.0,BEARISH,Restaurant
65,XLU,0.0,0.0,-0.0012891103654721317,0.0,654893.0,0.0,BEARISH,Utilities
66,XLV,0.0,0.0,-0.00041414782516354954,0.0,378729.0,0.0,BEARISH,Healthcare
64,XLRE,0.0,0.0,-0.02697572503251991,0.0,55337.0,0.0,BEARISH,Real Estate
56,WGS,0.0,0.0,0.030252798418040995,0.0,32643.0,0.0,BEARISH,Biotech
58,XLB,0.0,0.0,0.0028076099447041977,0.0,540186.0,0.0,BEARISH,Materials
57,XBI,0.0,0.0,-0.004040965422696108,0.0,701698.0,0.0,BEARISH,Biotech
59,XLE,0.0,0.0,-0.0029591435059915815,0.0,2376097.0,0.0,BEARISH,Energy
44,SGMO,0.0,0.0,-0.22143929335297136,0.0,91880.0,0.0,BEARISH,Biotech
50,TQQQ,0.0,0.0,0.010329470702071014,0.0,988083.0,0.0,BEARISH,Leveraged Index
45,SPHR,0.0,0.0,-0.056835436494009836,0.0,42284.0,0.0,BEARISH,Technology
49,TNA,0.0,0.0,0.006731463088008613,0.0,273384.0,0.0,BEARISH,Leveraged Index
48,TCMD,0.0,0.0,0.09155924065667223,0.0,3152.0,0.0,BEARISH,Healthcare
51,TSLA,0.0,0.0,0.024911337633760043,0.0,7810828.0,0.0,BEARISH,EV
55,VKTX,0.0,0.0,0.025800031663754112,0.0,197885.0,0.0,BEARISH,Biotech
53,U,0.0,0.0,-0.003414509339127803,0.0,681801.0,0.0,BEARISH,Software
52,TSM,0.0,0.0,0.0013838867855614349,0.0,1954765.0,0.0,BEARISH,Semiconductor
63,XLP,0.0,0.0,0.0013648789624637052,0.0,449952.0,0.0,BEARISH,Consumer Staples
46,SPY,-3.4587158982459574,-0.00047951142357492824,0.0014010472450219325,-0.00047951142357492824,15889129.0,-2.1767813064177131e-07,BEARISH,Index
33,NVDA,-43.14377322054542,-0.005588362616347562,-0.006326000462082472,0.005588362616347562,21361762.0,-2.0196729661413426e-06,BEARISH,Semiconductor
27,MSFT,-12.65192856008234,-0.03300065795540301,-0.002987942550998472,-0.03300065795540301,2136428.0,-5.922000909968574e-06,BEARISH,Technology
5,BAC,-36.25000000000001,-0.04356971153846155,0.00729338663981511,0.04356971153846155,2996437.0,-1.2097701369993765e-05,BEARISH,Financials
60,XLF,-147.7166119820151,-0.12833912338695386,-0.003947096162626235,0.12833912338695386,5318250.0,-2.777541709810842e-05,BEARISH,Financials
28,MSTR,-62.91595808907199,-0.0020019003998042427,-0.002607435142102952,0.024236504961752184,1792769.0,-3.5094291617643986e-05,BEARISH,Crypto
61,XLI,-62.580645161290334,-0.03353732323756181,-0.006207485214184337,0.03353732323756181,815430.0,-7.674557615158914e-05,BEARISH,Industrials
25,META,-513.3333333333333,-0.010388839418224992,0.0001559058038825365,-0.010388839418224992,2011718.0,-0.000255171616167541,BEARISH,Technology
7,COST,-69.8587203524695,-0.010394006279382207,-0.006688943420276934,-0.010394006279382207,254862.0,-0.00027410410478011433,BEARISH,Retail
62,XLK,-166.66666666666669,-0.11845534233593936,-0.02237265213744727,0.11845534233593936,387377.0,-0.00043024409468467843,BEARISH,Technology
39,RDDT,-204.0307169713747,-0.04120479673380351,0.00797439951613376,0.04120479673380351,378997.0,-0.0005383438839129985,BEARISH,Social Media
31,NOW,-68.7551867219917,-0.03327937401838901,-0.0073841224598122914,-0.03327937401838901,105234.0,-0.0006533552532640754,BEARISH,Software
67,XLY,-258.95865237366,-0.28582632712324507,-0.0040473782160003165,0.28582632712324507,345584.0,-0.0007493363476713622,BEARISH,Consumer Discretionary
47,SRPT,-980.3236994219651,-0.11062104484562911,-0.01938046187414377,0.11062104484562911,81528.0,-0.012024380573814704,BEARISH,Biotech
54,V,-14999.999999999996,-0.09374999999999999,-0.006211632517194749,0.09374999999999999,320802.0,-0.04675781323059082,BEARISH,Financials
