,ticker,weighted_score,sentiment_score,iv_change,price_change_pct,openInterest_evening,normalized_score,sentiment,sector
28,MSTR,5922293.660333928,2.2076022628925918,0.07414390251290891,0.34763486654463166,2069356.0,2.8619017995617613,BULLISH,Crypto
61,XLI,906244.7536831332,1.7375228088728418,0.16114022292883418,1.4782175704482465,797501.0,1.1363556330125393,BULLISH,Industrials
14,FSLR,561247.0376580805,3.634343034548466,0.027670344303431134,2.469587281612699,505400.0,1.1105006681006737,BULLISH,Clean Energy
56,WGS,34970.33569283503,0.7988861675071949,0.03947334455946626,-0.25639484787480177,37384.0,0.9354359001935328,BULLISH,Biotech
34,PDYN,4812.472441909265,0.9579274871710097,-0.0075707958480992436,0.29454102069126975,6506.0,0.73969757791412,BULLISH,Technology
55,VKTX,88703.21528457601,0.8540823209755595,0.04475368694183292,0.11399609749910034,199041.0,0.44565298247384216,BULLISH,Biotech
36,PM,55056.47581625468,2.216946802214715,0.016169713872663815,0.37450312145965553,229271.0,0.24013711204755367,BULLISH,Consumer Goods
65,XLU,72909.52434661998,1.1381600659672257,0.11348051102803666,0.28011998156843715,674210.0,0.10814067478474063,BULLISH,Utilities
24,MBLY,12701.333848930528,0.7393279128110863,0.08005595331270908,0.09308050722071164,336863.0,0.03770474599148772,BULLISH,Automotive Tech
63,XLP,10323.484096572758,0.5507305540560441,0.1874979231991098,-0.7327377008660971,453379.0,0.02277009763701618,BULLISH,Consumer Staples
8,CPRT,917.4451327637869,0.11290485696189308,0.028618775510534773,-0.02347487867317384,40515.0,0.022644579359836773,BULLISH,Auto Services
64,XLRE,1176.0115560506927,-0.21764220543272714,0.18308971944575256,0.09283026655858252,54877.0,0.021429953460478754,BULLISH,Real Estate
45,SPHR,776.6996589937988,0.31218919147850616,0.017605356505257738,-0.3210880289292561,39285.0,0.019770896245228427,BULLISH,Technology
29,MU,24673.735997452815,1.075872955793759,0.041665489627308025,-0.011030239764225395,1968594.0,0.012533684445575276,BULLISH,Semiconductor
47,SRPT,827.7355489788655,0.7246252803339717,0.02780932310656814,-0.35857916319161137,71746.0,0.011537027137106814,BULLISH,Biotech
66,XLV,1479.5252226767266,-0.06644803808542706,0.12002646000395627,-0.521461438648143,376968.0,0.003924803226472079,BULLISH,Healthcare
67,XLY,-5.2819675841637945,0.010988136113869992,0.05408239171441428,-0.22507991091461552,344322.0,-1.534019779207775e-05,BEARISH,Consumer Discretionary
57,XBI,-5846.000948255194,0.495558007710989,0.0214411939136982,-0.14854604284488845,650614.0,-0.008985359903499147,BEARISH,Biotech
58,XLB,-7846.09586179263,-6.996777552399374,0.16164491318802393,6.15240674600528,543165.0,-0.014445142565873408,BEARISH,Materials
10,CVNA,-7028.333946240385,0.7813260022396885,0.04261913989332274,-0.12021008805431303,357512.0,-0.019659015491061516,BEARISH,Auto Retail
62,XLK,-7837.611468265134,0.4190977636102434,0.03497481871920258,-0.2480547741710791,381472.0,-0.02054570576153724,BEARISH,Technology
44,SGMO,-2745.215311004785,-1.2542160169425056,0.1648313374103484,-1.2542160169425056,87325.0,-0.03143676279421454,BEARISH,Biotech
9,CSIQ,-2566.030049434681,-0.6857909876493636,0.02737357419465718,-0.6702639468613104,77915.0,-0.03293371044644396,BEARISH,Clean Energy
18,IBB,-4760.6475569823015,0.5724925841378363,0.020063118757029052,0.5108798708707113,87843.0,-0.05419495642205186,BEARISH,Biotech
26,MRNA,-53404.51916982288,-0.1923419569326498,0.04190158734215098,-1.1109161435444268,782151.0,-0.06827903968648366,BEARISH,Biotech
13,ENVX,-31492.229433445176,-0.5817061289902972,0.20774274985799984,-0.37996561697180536,421825.0,-0.07465709579433456,BEARISH,Clean Energy
43,SGI,-1166.6233766233765,-0.14308846369915065,0.01345052441313067,-0.06047387726777042,14246.0,-0.08189129416140506,BEARISH,Technology
20,JOBY,-18967.621749478287,-0.14962547593016334,0.016204664178438903,1.0609163143939038,201182.0,-0.09428090857769725,BEARISH,eVTOL
32,NVAX,-26111.92443181204,-0.534240363096217,0.13985765848396647,-1.1346849925383915,273577.0,-0.09544634392442362,BEARISH,Biotech
48,TCMD,-328.5185185185186,-1.2712712712712713,-0.32957702115445525,-1.2712712712712713,3194.0,-0.10285488995570401,BEARISH,Healthcare
7,COST,-28226.611723733313,0.8929491022453838,0.019636949382169446,-0.15114310620189467,263667.0,-0.10705401784725928,BEARISH,Retail
53,U,-83890.79479489176,-0.43084910262701587,0.05631002256774901,-0.3554212671865147,694703.0,-0.12075778396651772,BEARISH,Software
22,MA,-27096.708939575885,1.0073484840954625,0.011165980922778445,-0.8264075317700682,130033.0,-0.20838332530646747,BEARISH,Financials
16,GRAB,-215063.74570288352,-2.5644577220177456,0.36224681875408316,-0.3785263818593745,942440.0,-0.22819887282254947,BEARISH,Rideshare
54,V,-75613.7519800215,0.564435051670832,0.011400042953266154,-0.08826660824497844,320198.0,-0.2361468590685185,BEARISH,Financials
60,XLF,-1274325.4853626848,-0.6221965899406814,0.09198139792960197,0.00718998439518145,5240594.0,-0.24316432170908198,BEARISH,Financials
42,SERV,-20952.09428960349,-1.6167571704651034,0.06562604326700429,-0.4784641633819165,82978.0,-0.2525017991468039,BEARISH,Services
30,NBIS,-106320.45035498384,-0.9085610143154386,-0.005615937418871353,0.2730539262994375,368587.0,-0.28845415154355375,BEARISH,Technology
