,ticker,expiration,dte,put_iv,call_iv,skew,skew_direction
SPY_2025-05-09,SPY,2025-05-09,0,0.30794962890625,0.2695385546875,0.03841107421875001,Downside
SPY_2025-05-12,SPY,2025-05-12,3,0.238614384765625,0.214526083984375,0.02408830078124999,Downside
SPY_2025-05-13,SPY,2025-05-13,4,0.243171630859375,0.20248193359375,0.04068969726562499,Downside
SPY_2025-05-14,SPY,2025-05-14,5,0.24341576904296872,0.19271640625,0.050699362792968716,Downside
SPY_2025-05-15,SPY,2025-05-15,6,0.24585715087890625,0.1883219189453125,0.05753523193359375,Downside
SPY_2025-05-16,SPY,2025-05-16,7,0.24829853271484378,0.17253431640625003,0.07576421630859376,Downside
SPY_2025-05-23,SPY,2025-05-23,14,0.2388381781005859,0.15987982055664063,0.07895835754394528,Downside
SPY_2025-05-30,SPY,2025-05-30,21,0.23131058410644534,0.1534305035400391,0.07788008056640625,Downside
SPY_2025-06-06,SPY,2025-06-06,28,0.2296321340942383,0.15357291748046875,0.07605921661376955,Downside
SPY_2025-06-13,SPY,2025-06-13,35,0.22713989013671873,0.15495636718750003,0.0721835229492187,Downside
SPY_2025-06-20,SPY,2025-06-20,42,0.22751626983642578,0.1588829229736328,0.06863334686279299,Downside
SPY_2025-06-30,SPY,2025-06-30,52,0.2227352304077148,0.1564415411376953,0.06629368927001952,Downside
SPY_2025-07-18,SPY,2025-07-18,70,0.23128006683349608,0.1624534439086914,0.06882662292480468,Downside
SPY_2025-07-31,SPY,2025-07-31,83,0.2191545370483398,0.17478242218017578,0.044372114868164,Downside
SPY_2025-08-15,SPY,2025-08-15,98,0.2163215168762207,0.17435518035888675,0.041966336517333946,Downside
SPY_2025-08-29,SPY,2025-08-29,112,0.22197738479614257,0.18701984863281249,0.03495753616333008,Downside
SPY_2025-09-19,SPY,2025-09-19,133,0.2187934159851074,0.18312889633178708,0.03566451965332032,Downside
SPY_2025-09-30,SPY,2025-09-30,144,0.20961788925170896,0.18966976516723633,0.019948124084472635,Downside
SPY_2025-10-31,SPY,2025-10-31,175,0.20682047256469724,0.1866739862060547,0.02014648635864255,Downside
SPY_2025-12-19,SPY,2025-12-19,224,0.20783517189025877,0.1989571885681152,0.008877983322143568,Downside
SPY_2025-12-31,SPY,2025-12-31,236,0.20013210357666014,0.20374077110290525,-0.003608667526245113,Upside
