,ticker,expiration,dte,put_iv,call_iv,skew,skew_direction
SPY_2025-05-12,SPY,2025-05-12,2,0.22591919921875,0.22071091796875,0.005208281250000002,Downside
SPY_2025-05-13,SPY,2025-05-13,3,0.2244543701171875,0.205737109375,0.01871726074218749,Downside
SPY_2025-05-14,SPY,2025-05-14,4,0.2306392041015625,0.19564606445312496,0.03499313964843753,Downside
SPY_2025-05-15,SPY,2025-05-15,5,0.23316196533203123,0.187833642578125,0.04532832275390625,Downside
SPY_2025-05-16,SPY,2025-05-16,6,0.23914335083007812,0.173510869140625,0.06563248168945313,Downside
SPY_2025-05-23,SPY,2025-05-23,13,0.23806507385253903,0.158537060546875,0.07952801330566403,Downside
SPY_2025-05-30,SPY,2025-05-30,20,0.2320836883544922,0.15241326110839845,0.07967042724609374,Downside
SPY_2025-06-06,SPY,2025-06-06,27,0.23098506652832032,0.15369498657226563,0.07729007995605469,Downside
SPY_2025-06-13,SPY,2025-06-13,34,0.22843178802490235,0.15613636840820314,0.07229541961669922,Downside
SPY_2025-06-20,SPY,2025-06-20,41,0.2285131674194336,0.1577334390258789,0.07077972839355468,Downside
SPY_2025-06-30,SPY,2025-06-30,51,0.2240271282958984,0.15490550506591796,0.06912162322998044,Downside
SPY_2025-07-18,SPY,2025-07-18,69,0.22757730438232418,0.16220930572509765,0.06536799865722653,Downside
SPY_2025-07-31,SPY,2025-07-31,82,0.21953600296020506,0.17188328125000005,0.047652721710205015,Downside
SPY_2025-08-15,SPY,2025-08-15,97,0.21641306869506835,0.17385673156738282,0.04255633712768553,Downside
SPY_2025-08-29,SPY,2025-08-29,111,0.21934272689819334,0.18416648361206053,0.03517624328613281,Downside
SPY_2025-09-19,SPY,2025-09-19,132,0.21618927536010737,0.18277794769287106,0.03341132766723631,Downside
SPY_2025-09-30,SPY,2025-09-30,143,0.20978064804077143,0.18751321121215822,0.022267436828613207,Downside
SPY_2025-10-31,SPY,2025-10-31,174,0.20724262817382808,0.18127751510620116,0.025965113067626916,Downside
SPY_2025-12-19,SPY,2025-12-19,223,0.20580323013305665,0.19861895545959474,0.007184274673461916,Downside
SPY_2025-12-31,SPY,2025-12-31,235,0.2012281822967529,0.201556242980957,-0.00032806068420410117,Upside
SPY_2026-01-16,SPY,2026-01-16,251,0.20218693328857418,0.19867999000549316,0.0035069432830810154,Downside
SPY_2026-03-20,SPY,2026-03-20,314,0.19693033302307128,0.2058846095275879,-0.008954276504516606,Upside
SPY_2026-03-31,SPY,2026-03-31,325,0.19235019897460937,0.20523611747741696,-0.012885918502807597,Upside
SPY_2026-06-18,SPY,2026-06-18,404,0.190437783203125,0.212272891998291,-0.02183510879516601,Upside
SPY_2026-12-18,SPY,2026-12-18,587,0.18084010086059568,0.22167984138488764,-0.040839740524291956,Upside
SPY_2027-01-15,SPY,2027-01-15,615,0.1810054027557373,0.22244404476165772,-0.04143864200592043,Upside
SPY_2027-12-17,SPY,2027-12-17,951,0.16919648967742926,0.23960238147735594,-0.07040589179992668,Upside
QQQ_2025-05-12,QQQ,2025-05-12,2,0.23275506835937498,0.24610128906249998,-0.013346220703124995,Upside
QQQ_2025-05-13,QQQ,2025-05-13,3,0.24398542480468746,0.245775771484375,-0.0017903466796875267,Upside
QQQ_2025-05-14,QQQ,2025-05-14,4,0.2511468115234375,0.24154404296874998,0.009602768554687502,Downside
QQQ_2025-05-15,QQQ,2025-05-15,5,0.2600578552246094,0.23511507080078123,0.024942784423828163,Downside
QQQ_2025-05-16,QQQ,2025-05-16,6,0.27002683105468744,0.22087367675781247,0.049153154296874974,Downside
QQQ_2025-05-23,QQQ,2025-05-23,13,0.2692333819580078,0.2062660754394531,0.06296730651855467,Downside
QQQ_2025-05-30,QQQ,2025-05-30,20,0.2674430352783203,0.2018308984375,0.06561213684082032,Downside
QQQ_2025-06-06,QQQ,2025-06-06,27,0.26558148162841794,0.2018308984375,0.06375058319091795,Downside
QQQ_2025-06-13,QQQ,2025-06-13,34,0.26302820312499997,0.2036822796630859,0.05934592346191406,Downside
QQQ_2025-06-20,QQQ,2025-06-20,41,0.26376061767578124,0.20647969635009764,0.057280921325683604,Downside
QQQ_2025-06-30,QQQ,2025-06-30,51,0.25626354095458986,0.20772073211669917,0.048542808837890694,Downside
QQQ_2025-07-18,QQQ,2025-07-18,69,0.2643709631347656,0.21485160156249997,0.049519361572265636,Downside
QQQ_2025-07-31,QQQ,2025-07-31,82,0.25471224624633787,0.2207210903930664,0.033991155853271476,Downside
QQQ_2025-08-15,QQQ,2025-08-15,97,0.2596407858276367,0.22730264892578123,0.032338136901855496,Downside
QQQ_2025-08-29,QQQ,2025-08-29,111,0.2589490609741211,0.23313144805908204,0.02581761291503909,Downside
QQQ_2025-09-19,QQQ,2025-09-19,132,0.2537102624511719,0.2369817106628418,0.016728551788330104,Downside
QQQ_2025-09-30,QQQ,2025-09-30,143,0.2450840466308594,0.2425002508544922,0.0025837957763671926,Downside
QQQ_2025-11-21,QQQ,2025-11-21,195,0.2456333575439453,0.25096116477966307,-0.005327807235717769,Upside
QQQ_2025-12-19,QQQ,2025-12-19,223,0.16400473861694334,0.25818612915039063,-0.09418139053344729,Upside
QQQ_2025-12-31,QQQ,2025-12-31,235,0.23954007537841795,0.25815052566528324,-0.018610450286865282,Upside
QQQ_2026-01-16,QQQ,2026-01-16,251,0.16073939041137694,0.1766948379516602,-0.015955447540283246,Upside
QQQ_2026-03-20,QQQ,2026-03-20,314,0.23022976402282713,0.26241785766601566,-0.03218809364318853,Upside
QQQ_2026-03-31,QQQ,2026-03-31,325,0.23005428970336914,0.2622779868316651,-0.03222369712829595,Upside
QQQ_2026-06-18,QQQ,2026-06-18,404,0.282961068572998,0.2704057538604736,0.012555314712524412,Downside
QQQ_2026-09-18,QQQ,2026-09-18,496,0.21755238021850584,0.2752936037445068,-0.057741223526000945,Upside
QQQ_2026-12-18,QQQ,2026-12-18,587,0.21046982978820797,0.2784114517974853,-0.06794162200927731,Upside
QQQ_2027-01-15,QQQ,2027-01-15,615,0.21208470214843747,0.2777070114135742,-0.06562230926513671,Upside
QQQ_2027-06-17,QQQ,2027-06-17,768,0.21691660369873045,0.296358151397705,-0.07944154769897455,Upside
QQQ_2027-12-17,QQQ,2027-12-17,951,0.20195551063537598,0.2998676377868652,-0.09791212715148923,Upside
IWM_2025-05-12,IWM,2025-05-12,2,0.26237716796875,0.28255925781249996,-0.020182089843749973,Upside
IWM_2025-05-13,IWM,2025-05-13,3,0.272468212890625,0.2806061523437499,-0.00813793945312491,Upside
IWM_2025-05-14,IWM,2025-05-14,4,0.275072353515625,0.2713289013671875,0.003743452148437465,Downside
IWM_2025-05-15,IWM,2025-05-15,5,0.28190822265625,0.27018958984374997,0.011718632812500018,Downside
IWM_2025-05-16,IWM,2025-05-16,6,0.2846751220703124,0.2618075122070313,0.022867609863281124,Downside
IWM_2025-05-23,IWM,2025-05-23,13,0.278653046875,0.2293371337890625,0.04931591308593747,Downside
IWM_2025-05-30,IWM,2025-05-30,20,0.2718578674316406,0.23487093261718747,0.036986934814453115,Downside
IWM_2025-06-06,IWM,2025-06-06,27,0.2719392468261719,0.2204260900878906,0.051513156738281274,Downside
IWM_2025-06-13,IWM,2025-06-13,34,0.2697623480224609,0.22364057617187497,0.04612177185058594,Downside
IWM_2025-06-20,IWM,2025-06-20,41,0.2707185559082031,0.21820850158691404,0.05251005432128905,Downside
IWM_2025-06-30,IWM,2025-06-30,51,0.26347578979492187,0.2160112579345703,0.04746453186035157,Downside
IWM_2025-07-18,IWM,2025-07-18,69,0.26074958007812504,0.22679402770996093,0.03395555236816411,Downside
