,ticker,expiration,dte,put_iv,call_iv,skew,skew_direction
SPY_2025-05-14,SPY,2025-05-14,0,0.32129584960937496,0.32227240234374993,-0.0009765527343749691,Upside
SPY_2025-05-15,SPY,2025-05-15,1,0.2841868457031249,0.27735097656249996,0.0068358691406249505,Downside
SPY_2025-05-16,SPY,2025-05-16,2,0.2690502783203125,0.21908333007812497,0.0499669482421875,Downside
SPY_2025-05-19,SPY,2025-05-19,5,0.21647918945312497,0.1866943310546875,0.029784858398437475,Downside
SPY_2025-05-20,SPY,2025-05-20,6,0.21525849853515622,0.1783936328125,0.03686486572265621,Downside
SPY_2025-05-21,SPY,2025-05-21,7,0.21493298095703126,0.1733481103515625,0.041584870605468754,Downside
SPY_2025-05-22,SPY,2025-05-22,8,0.21643849975585935,0.17334811035156253,0.043090389404296825,Downside
SPY_2025-05-23,SPY,2025-05-23,9,0.21554332641601562,0.16569844726562502,0.0498448791503906,Downside
SPY_2025-05-30,SPY,2025-05-30,16,0.20471986694335934,0.13876186767578125,0.06595799926757809,Downside
SPY_2025-06-06,SPY,2025-06-06,23,0.20020331054687499,0.13973842041015627,0.06046489013671871,Downside
SPY_2025-06-13,SPY,2025-06-13,30,0.1966836517333984,0.13857876403808594,0.05810488769531247,Downside
SPY_2025-06-20,SPY,2025-06-20,37,0.19598175445556643,0.13581186462402348,0.06016988983154295,Downside
SPY_2025-06-27,SPY,2025-06-27,44,0.19782296325683593,0.1348556567382813,0.06296730651855464,Downside
SPY_2025-06-30,SPY,2025-06-30,47,0.19260450958251954,0.13193617095947266,0.06066833862304688,Downside
SPY_2025-07-18,SPY,2025-07-18,65,0.19921658538818357,0.13727669372558596,0.06193989166259761,Downside
SPY_2025-07-31,SPY,2025-07-31,78,0.18963924789428713,0.14489583953857418,0.044743408355712944,Downside
SPY_2025-08-15,SPY,2025-08-15,93,0.18760984924316404,0.14736773864746097,0.04024211059570307,Downside
SPY_2025-08-29,SPY,2025-08-29,107,0.1894510580444336,0.1590100782775879,0.030440979766845705,Downside
SPY_2025-09-19,SPY,2025-09-19,128,0.1923858024597168,0.15745369735717776,0.034932105102539024,Downside
SPY_2025-09-30,SPY,2025-09-30,139,0.18727415924072266,0.15740792144775392,0.029866237792968736,Downside
SPY_2025-10-31,SPY,2025-10-31,170,0.18656208953857423,0.1700878483581543,0.01647424118041993,Downside
SPY_2025-12-19,SPY,2025-12-19,219,0.18654174468994142,0.17761035614013668,0.008931388549804742,Downside
SPY_2025-12-31,SPY,2025-12-31,231,0.18201755897521968,0.1848836395263672,-0.0028660805511475096,Upside
