,ticker,expiration,dte,put_iv,call_iv,skew,skew_direction,trading_date
SPY_2025-05-21,SPY,2025-05-21,0,0.30078824218749994,0.27735097656249996,0.02343726562499998,Downside,2025-05-19
SPY_2025-05-22,SPY,2025-05-22,1,0.26563234375,0.226570234375,0.03906210937499999,Downside,2025-05-19
SPY_2025-05-23,SPY,2025-05-23,2,0.247403359375,0.21094539062499998,0.036457968750000014,Downside,2025-05-19
SPY_2025-05-27,SPY,2025-05-27,6,0.19051916259765625,0.15137567382812503,0.03914348876953122,Downside,2025-05-19
SPY_2025-05-28,SPY,2025-05-28,7,0.20004055175781246,0.144865322265625,0.05517522949218745,Downside,2025-05-19
SPY_2025-05-29,SPY,2025-05-29,8,0.20748676635742183,0.14942256835937498,0.05806419799804685,Downside,2025-05-19
SPY_2025-05-30,SPY,2025-05-30,9,0.20903297485351557,0.133797724609375,0.07523525024414057,Downside,2025-05-19
SPY_2025-06-06,SPY,2025-06-06,16,0.20600159240722657,0.13400117309570314,0.07200041931152343,Downside,2025-05-19
SPY_2025-06-13,SPY,2025-06-13,23,0.20164779479980466,0.1339604833984375,0.06768731140136716,Downside,2025-05-19
SPY_2025-06-20,SPY,2025-06-20,30,0.2002236553955078,0.13086806640625,0.06935558898925778,Downside,2025-05-19
SPY_2025-06-27,SPY,2025-06-27,37,0.19794503234863278,0.1294846166992187,0.06846041564941407,Downside,2025-05-19
SPY_2025-06-30,SPY,2025-06-30,40,0.1944762356567383,0.12783668395996092,0.06663955169677738,Downside,2025-05-19
SPY_2025-07-18,SPY,2025-07-18,58,0.19307752731323244,0.13568979553222657,0.05738773178100587,Downside,2025-05-19
SPY_2025-07-31,SPY,2025-07-31,71,0.19034114517211917,0.14099980102539064,0.04934134414672853,Downside,2025-05-19
SPY_2025-08-15,SPY,2025-08-15,86,0.1887898504638672,0.1445092874145508,0.04428056304931641,Downside,2025-05-19
SPY_2025-08-29,SPY,2025-08-29,100,0.18770140106201172,0.15253024398803713,0.035171157073974585,Downside,2025-05-19
SPY_2025-09-19,SPY,2025-09-19,121,0.19016821395874026,0.15403576278686526,0.036132451171874996,Downside,2025-05-19
SPY_2025-09-30,SPY,2025-09-30,132,0.18500570861816404,0.15371533142089847,0.03129037719726557,Downside,2025-05-19
SPY_2025-10-17,SPY,2025-10-17,149,0.18883562637329102,0.15926438888549807,0.029571237487792945,Downside,2025-05-19
SPY_2025-10-31,SPY,2025-10-31,163,0.1837901039123535,0.16313499633789064,0.020655107574462872,Downside,2025-05-19
SPY_2025-12-19,SPY,2025-12-19,212,0.18310346527099608,0.17357190368652342,0.009531561584472659,Downside,2025-05-19
SPY_2025-12-31,SPY,2025-12-31,224,0.17855639160156248,0.17263604064941407,0.0059203509521484066,Downside,2025-05-19
SPY_2026-01-16,SPY,2026-01-16,240,0.18043574699401854,0.1753444486236572,0.005091298370361347,Downside,2025-05-19
SPY_2026-03-20,SPY,2026-03-20,303,0.1761785874176026,0.18549398498535155,-0.009315397567748962,Upside,2025-05-19
SPY_2026-03-31,SPY,2026-03-31,314,0.17244276458740238,0.1851328639221191,-0.012690099334716737,Upside,2025-05-19
SPY_2026-06-18,SPY,2026-06-18,393,0.17158828094482423,0.1958011939239502,-0.024212912979125978,Upside,2025-05-19
SPY_2026-12-18,SPY,2026-12-18,576,0.16518728294372562,0.21322019901275632,-0.04803291606903071,Upside,2025-05-19
SPY_2027-01-15,SPY,2027-01-15,604,0.1657747404479981,0.21433026481628414,-0.04855552436828606,Upside,2025-05-19
SPY_2027-12-17,SPY,2027-12-17,940,0.15662718788146976,0.23655065418243407,-0.07992346630096431,Upside,2025-05-19
QQQ_2025-05-21,QQQ,2025-05-21,0,0.31576205078124997,0.27800201171875,0.03776003906249997,Downside,2025-05-19
QQQ_2025-05-22,QQQ,2025-05-22,1,0.29281306152343745,0.23438265625,0.05843040527343746,Downside,2025-05-19
QQQ_2025-05-23,QQQ,2025-05-23,2,0.2789785644531249,0.21615367187499998,0.06282489257812493,Downside,2025-05-19
QQQ_2025-05-27,QQQ,2025-05-27,6,0.22811644287109376,0.1837646728515625,0.04435177001953125,Downside,2025-05-19
QQQ_2025-05-28,QQQ,2025-05-28,7,0.243822666015625,0.1886474365234375,0.055175229492187505,Downside,2025-05-19
QQQ_2025-05-29,QQQ,2025-05-29,8,0.255541298828125,0.19182123291015626,0.06372006591796872,Downside,2025-05-19
QQQ_2025-05-30,QQQ,2025-05-30,9,0.25444267700195317,0.19243157836914063,0.06201109863281254,Downside,2025-05-19
QQQ_2025-06-06,QQQ,2025-06-06,16,0.24671163452148437,0.1852701916503906,0.061441442871093765,Downside,2025-05-19
QQQ_2025-06-13,QQQ,2025-06-13,23,0.23885852294921875,0.18236087829589845,0.0564976446533203,Downside,2025-05-19
QQQ_2025-06-20,QQQ,2025-06-20,30,0.23279575805664063,0.1805298419189453,0.05226591613769532,Downside,2025-05-19
QQQ_2025-06-27,QQQ,2025-06-27,37,0.23026282440185544,0.177040700378418,0.053222124023437456,Downside,2025-05-19
QQQ_2025-06-30,QQQ,2025-06-30,40,0.22618368225097654,0.17424328369140626,0.05194039855957028,Downside,2025-05-19
QQQ_2025-07-18,QQQ,2025-07-18,58,0.2251359225463867,0.18528036407470702,0.03985555847167968,Downside,2025-05-19
QQQ_2025-07-31,QQQ,2025-07-31,71,0.2245052322387695,0.18800148757934568,0.036503744659423826,Downside,2025-05-19
QQQ_2025-08-15,QQQ,2025-08-15,86,0.2282639430236816,0.19573761627197264,0.03252632675170897,Downside,2025-05-19
QQQ_2025-08-29,QQQ,2025-08-29,100,0.22845213287353516,0.2018207260131836,0.026631406860351564,Downside,2025-05-19
QQQ_2025-09-19,QQQ,2025-09-19,121,0.22428652511596678,0.20701374862670896,0.01727277648925782,Downside,2025-05-19
QQQ_2025-09-30,QQQ,2025-09-30,132,0.21970893417358395,0.20720702468872068,0.012501909484863266,Downside,2025-05-19
QQQ_2025-11-21,QQQ,2025-11-21,184,0.22156540161132812,0.22369143829345703,-0.0021260366821289067,Upside,2025-05-19
QQQ_2025-12-19,QQQ,2025-12-19,212,0.21787281158447266,0.23205062797546386,-0.014177816390991194,Upside,2025-05-19
QQQ_2025-12-31,QQQ,2025-12-31,224,0.2142107388305664,0.23182937774658205,-0.017618638916015644,Upside,2025-05-19
QQQ_2026-01-16,QQQ,2026-01-16,240,0.21429974754333495,0.2338740350341797,-0.01957428749084475,Upside,2025-05-19
QQQ_2026-03-20,QQQ,2026-03-20,303,0.21104202865600583,0.2421035263061523,-0.031061497650146486,Upside,2025-05-19
QQQ_2026-03-31,QQQ,2026-03-31,314,0.21194737442016598,0.24143977561950683,-0.02949240119934085,Upside,2025-05-19
QQQ_2026-06-18,QQQ,2026-06-18,393,0.2056277558135986,0.25500724655151363,-0.04937949073791503,Upside,2025-05-19
QQQ_2026-09-18,QQQ,2026-09-18,485,0.20267520965576172,0.2600451396942139,-0.05736993003845217,Upside,2025-05-19
QQQ_2026-12-18,QQQ,2026-12-18,576,0.19671416900634767,0.2677914408111572,-0.07107727180480952,Upside,2025-05-19
QQQ_2027-01-15,QQQ,2027-01-15,604,0.1974008076477051,0.26654023262023924,-0.06913942497253414,Upside,2025-05-19
QQQ_2027-06-17,QQQ,2027-06-17,757,0.20522848815917963,0.2860255113983154,-0.08079702323913576,Upside,2025-05-19
QQQ_2027-12-17,QQQ,2027-12-17,940,0.1899291619873047,0.2902661407852172,-0.10033697879791248,Upside,2025-05-19
IWM_2025-05-21,IWM,2025-05-21,0,0.367193828125,0.330735859375,0.036457968750000014,Downside,2025-05-19
IWM_2025-05-22,IWM,2025-05-22,1,0.32357447265625,0.2851633984375,0.03841107421875001,Downside,2025-05-19
IWM_2025-05-23,IWM,2025-05-23,2,0.29883513671874995,0.2565178515625,0.04231728515624994,Downside,2025-05-19
IWM_2025-05-27,IWM,2025-05-27,6,0.24333438964843754,0.20703917968749996,0.036295209960937574,Downside,2025-05-19
IWM_2025-05-28,IWM,2025-05-28,7,0.2459385302734375,0.21908333007812497,0.02685520019531254,Downside,2025-05-19
IWM_2025-05-29,IWM,2025-05-29,8,0.252937158203125,0.26563234375,-0.012695185546874987,Upside,2025-05-19
IWM_2025-05-30,IWM,2025-05-30,9,0.246426806640625,0.20533021240234373,0.04109659423828127,Downside,2025-05-19
IWM_2025-06-06,IWM,2025-06-06,16,0.23849231567382811,0.19979641357421873,0.03869590209960938,Downside,2025-05-19
IWM_2025-06-13,IWM,2025-06-13,23,0.2364985205078125,0.1966226171875,0.03987590332031252,Downside,2025-05-19
IWM_2025-06-20,IWM,2025-06-20,30,0.23582714050292966,0.18693846923828125,0.04888867126464841,Downside,2025-05-19
IWM_2025-06-27,IWM,2025-06-27,37,0.23391472473144528,0.18889157470703125,0.04502315002441404,Downside,2025-05-19
IWM_2025-06-30,IWM,2025-06-30,40,0.22929644409179686,0.18457846679687498,0.044717977294921885,Downside,2025-05-19
IWM_2025-07-18,IWM,2025-07-18,58,0.2269771313476562,0.19182123291015626,0.035155898437499944,Downside,2025-05-19
IWM_2025-08-15,IWM,2025-08-15,86,0.22270471313476561,0.19938951660156248,0.02331519653320313,Downside,2025-05-19
IWM_2025-09-19,IWM,2025-09-19,121,0.23611196838378903,0.2054726263427734,0.03063934204101562,Downside,2025-05-19
IWM_2025-09-30,IWM,2025-09-30,132,0.21783212188720702,0.2093991821289062,0.008432939758300811,Downside,2025-05-19
IWM_2025-10-17,IWM,2025-10-17,149,0.21768970794677733,0.21087418365478516,0.00681552429199217,Downside,2025-05-19
IWM_2025-11-21,IWM,2025-11-21,184,0.21453625640869137,0.21887988159179686,-0.004343625183105493,Upside,2025-05-19
IWM_2025-12-19,IWM,2025-12-19,212,0.225593681640625,0.22666178619384766,-0.0010681045532226763,Upside,2025-05-19
IWM_2025-12-31,IWM,2025-12-31,224,0.22424074920654294,0.22576661285400387,-0.0015258636474609344,Upside,2025-05-19
IWM_2026-01-16,IWM,2026-01-16,240,0.21039607971191407,0.2277298907470703,-0.017333811035156244,Upside,2025-05-19
IWM_2026-03-20,IWM,2026-03-20,303,0.21667246551513672,0.22975420318603512,-0.013081737670898402,Upside,2025-05-19
IWM_2026-03-31,IWM,2026-03-31,314,0.2062253857421875,0.22989661712646484,-0.023671231384277347,Upside,2025-05-19
IWM_2026-06-18,IWM,2026-06-18,393,0.21140314971923826,0.23701222793579102,-0.025609078216552755,Upside,2025-05-19
IWM_2026-09-18,IWM,2026-09-18,485,0.20809202560424803,0.2444889598083496,-0.03639693420410156,Upside,2025-05-19
IWM_2026-12-18,IWM,2026-12-18,576,0.20526409164428708,0.24929543029785153,-0.044031338653564456,Upside,2025-05-19
IWM_2027-01-15,IWM,2027-01-15,604,0.13945359252929687,0.25266758895874025,-0.11321399642944338,Upside,2025-05-19
IWM_2027-06-17,IWM,2027-06-17,757,0.20342288284301757,0.2623720817565918,-0.05894919891357425,Upside,2025-05-19
IWM_2027-12-17,IWM,2027-12-17,940,0.1988961540222168,0.2689892437744141,-0.07009308975219727,Upside,2025-05-19
DIA_2025-05-23,DIA,2025-05-23,2,0.262051650390625,0.2200598828125,0.041991767578125005,Downside,2025-05-19
DIA_2025-05-30,DIA,2025-05-30,9,0.20305158935546874,0.153654296875,0.04939729248046873,Downside,2025-05-19
DIA_2025-06-06,DIA,2025-06-06,16,0.19259433715820315,0.14209842285156252,0.05049591430664063,Downside,2025-05-19
DIA_2025-06-13,DIA,2025-06-13,23,0.1866943310546875,0.13790738403320316,0.04878694702148434,Downside,2025-05-19
DIA_2025-06-20,DIA,2025-06-20,30,0.18335777587890623,0.1316411706542969,0.05171660522460933,Downside,2025-05-19
DIA_2025-06-27,DIA,2025-06-27,37,0.17941087524414065,0.1300135827636719,0.04939729248046876,Downside,2025-05-19
DIA_2025-06-30,DIA,2025-06-30,40,0.1749044912719727,0.12513081909179688,0.04977367218017581,Downside,2025-05-19
DIA_2025-07-18,DIA,2025-07-18,58,0.17376517974853514,0.1289454782104492,0.044819701538085954,Downside,2025-05-19
DIA_2025-08-15,DIA,2025-08-15,86,0.2053403848266601,0.16676655181884767,0.03857383300781242,Downside,2025-05-19
DIA_2025-09-19,DIA,2025-09-19,121,0.18046372116088868,0.14209842285156252,0.03836529830932617,Downside,2025-05-19
DIA_2025-09-30,DIA,2025-09-30,132,0.17523509506225587,0.254864832611084,-0.07962973754882813,Upside,2025-05-19
DIA_2025-12-19,DIA,2025-12-19,212,0.17730518341064452,0.1671988798522949,0.010106303558349627,Downside,2025-05-19
DIA_2025-12-31,DIA,2025-12-31,224,0.06893326095581055,0.10940425109863283,-0.04047099014282228,Upside,2025-05-19
DIA_2026-01-16,DIA,2026-01-16,240,0.16810931182861333,0.16057154541015625,0.007537766418457076,Downside,2025-05-19
DIA_2026-03-20,DIA,2026-03-20,303,0.17004715866088863,0.17045914184570313,-0.0004119831848145017,Upside,2025-05-19
DIA_2026-03-31,DIA,2026-03-31,314,0.16474478248596192,0.17751371810913086,-0.012768935623168942,Upside,2025-05-19
DIA_2026-06-18,DIA,2026-06-18,393,0.1607851663208008,0.1818726019287109,-0.0210874356079101,Upside,2025-05-19
DIA_2026-12-18,DIA,2026-12-18,576,0.15465628067016604,0.12989151367187501,0.024764766998291027,Downside,2025-05-19
DIA_2027-01-15,DIA,2027-01-15,604,0.164897368850708,0.1926706303405762,-0.027773261489868195,Upside,2025-05-19
TQQQ_2025-05-23,TQQQ,2025-05-23,2,0.7008493457031251,0.5716188671875,0.12923047851562508,Downside,2025-05-19
TQQQ_2025-05-30,TQQQ,2025-05-30,9,0.6508823974609377,0.5568078173828125,0.09407458007812519,Downside,2025-05-19
TQQQ_2025-06-06,TQQQ,2025-06-06,16,0.6293982373046876,0.5484257397460938,0.08097249755859381,Downside,2025-05-19
TQQQ_2025-06-13,TQQQ,2025-06-13,23,0.5917195776367189,0.5547733325195313,0.03694624511718758,Downside,2025-05-19
TQQQ_2025-06-20,TQQQ,2025-06-20,30,0.6135292553710938,0.5431360791015626,0.07039317626953123,Downside,2025-05-19
TQQQ_2025-06-27,TQQQ,2025-06-27,37,0.5516402258300782,0.5100553552246093,0.04158487060546889,Downside,2025-05-19
TQQQ_2025-07-18,TQQQ,2025-07-18,58,0.5972126867675781,0.5427698718261719,0.05444281494140624,Downside,2025-05-19
TQQQ_2025-09-19,TQQQ,2025-09-19,121,0.6009968286132814,0.5818319812011719,0.019164847412109554,Downside,2025-05-19
TQQQ_2025-12-19,TQQQ,2025-12-19,212,0.6214637463378907,0.5768271484374999,0.04463659790039076,Downside,2025-05-19
TQQQ_2026-01-16,TQQQ,2026-01-16,240,0.6074258007812502,0.5998778619384767,0.007547938842773494,Downside,2025-05-19
TQQQ_2027-01-15,TQQQ,2027-01-15,604,0.5795330133056641,0.610701321411133,-0.03116830810546889,Upside,2025-05-19
TNA_2025-05-23,TNA,2025-05-23,2,0.7343776562500001,0.6256547851562501,0.10872287109375,Downside,2025-05-19
TNA_2025-05-30,TNA,2025-05-30,9,0.6357458300781251,0.5742230078125001,0.061522822265625,Downside,2025-05-19
TNA_2025-06-06,TNA,2025-06-06,16,0.6381872119140627,0.5906616455078126,0.04752556640625005,Downside,2025-05-19
TNA_2025-06-13,TNA,2025-06-13,23,0.6518589501953126,0.5550174707031249,0.09684147949218769,Downside,2025-05-19
TNA_2025-06-20,TNA,2025-06-20,30,0.6196327099609377,0.5727581787109375,0.046874531250000184,Downside,2025-05-19
TNA_2025-06-27,TNA,2025-06-27,37,0.6307003076171876,0.555668505859375,0.07503180175781266,Downside,2025-05-19
TNA_2025-07-18,TNA,2025-07-18,58,0.6261430615234376,0.5717002465820313,0.05444281494140624,Downside,2025-05-19
TNA_2025-10-17,TNA,2025-10-17,149,0.6265499584960937,0.5702354174804687,0.05631454101562505,Downside,2025-05-19
