,ticker,expiration,dte,put_iv,call_iv,skew,skew_direction,trading_date
SPY_2025-05-22,SPY,2025-05-22,0,0.12500875,0.12500875,0.0,Upside,2025-05-21
SPY_2025-05-23,SPY,2025-05-23,1,0.12500875,0.12500875,0.0,Upside,2025-05-21
SPY_2025-05-27,SPY,2025-05-27,5,0.062509375,0.062509375,0.0,Upside,2025-05-21
SPY_2025-05-28,SPY,2025-05-28,6,0.062509375,0.0833425,-0.020833124999999994,Upside,2025-05-21
SPY_2025-05-29,SPY,2025-05-29,7,0.062509375,0.0833425,-0.020833124999999994,Upside,2025-05-21
SPY_2025-05-30,SPY,2025-05-30,8,0.062509375,0.062509375,0.0,Upside,2025-05-21
SPY_2025-06-06,SPY,2025-06-06,15,0.062509375,0.062509375,0.0,Upside,2025-05-21
SPY_2025-06-13,SPY,2025-06-13,22,0.041676250000000005,0.0520928125,-0.010416562499999997,Upside,2025-05-21
SPY_2025-06-20,SPY,2025-06-20,29,0.0312596875,0.041676250000000005,-0.010416562500000004,Upside,2025-05-21
SPY_2025-06-27,SPY,2025-06-27,36,0.0312596875,0.0312596875,0.0,Upside,2025-05-21
SPY_2025-06-30,SPY,2025-06-30,39,0.0312596875,0.0312596875,0.0,Upside,2025-05-21
SPY_2025-07-18,SPY,2025-07-18,57,0.0312596875,0.0312596875,0.0,Upside,2025-05-21
SPY_2025-07-31,SPY,2025-07-31,70,0.0312596875,0.0312596875,0.0,Upside,2025-05-21
SPY_2025-08-15,SPY,2025-08-15,85,0.0312596875,0.0312596875,0.0,Upside,2025-05-21
SPY_2025-08-29,SPY,2025-08-29,99,0.020843125,0.015634843750000002,0.0052082812499999985,Downside,2025-05-21
SPY_2025-09-19,SPY,2025-09-19,120,0.026051406250000003,0.020843125,0.005208281250000002,Downside,2025-05-21
SPY_2025-09-30,SPY,2025-09-30,131,0.015634843750000002,0.020843125,-0.0052082812499999985,Upside,2025-05-21
SPY_2025-10-17,SPY,2025-10-17,148,0.020843125,0.020843125,0.0,Upside,2025-05-21
SPY_2025-10-31,SPY,2025-10-31,162,0.015634843750000002,0.015634843750000002,0.0,Upside,2025-05-21
SPY_2025-12-19,SPY,2025-12-19,211,0.015634843750000002,0.015634843750000002,0.0,Upside,2025-05-21
SPY_2025-12-31,SPY,2025-12-31,223,0.015634843750000002,0.015634843750000002,0.0,Upside,2025-05-21
SPY_2026-01-16,SPY,2026-01-16,239,0.015634843750000002,0.015634843750000002,0.0,Upside,2025-05-21
SPY_2026-03-20,SPY,2026-03-20,302,0.015634843750000002,0.015634843750000002,0.0,Upside,2025-05-21
SPY_2026-03-31,SPY,2026-03-31,313,0.015634843750000002,0.015634843750000002,0.0,Upside,2025-05-21
SPY_2026-06-18,SPY,2026-06-18,392,0.015634843750000002,0.013030703125000001,0.002604140625000001,Downside,2025-05-21
SPY_2026-12-18,SPY,2026-12-18,575,0.0104265625,0.0104265625,0.0,Upside,2025-05-21
SPY_2027-01-15,SPY,2027-01-15,603,0.0104265625,0.007822421875,0.0026041406249999993,Downside,2025-05-21
SPY_2027-12-17,SPY,2027-12-17,939,0.007822421875,0.007822421875,0.0,Upside,2025-05-21
QQQ_2025-05-22,QQQ,2025-05-22,0,0.12500875,0.12500875,0.0,Upside,2025-05-21
QQQ_2025-05-23,QQQ,2025-05-23,1,0.12500875,0.12500875,0.0,Upside,2025-05-21
QQQ_2025-05-27,QQQ,2025-05-27,5,0.062509375,0.0833425,-0.020833124999999994,Upside,2025-05-21
QQQ_2025-05-28,QQQ,2025-05-28,6,0.062509375,0.104175625,-0.04166624999999999,Upside,2025-05-21
QQQ_2025-05-29,QQQ,2025-05-29,7,0.062509375,0.0833425,-0.020833124999999994,Upside,2025-05-21
QQQ_2025-05-30,QQQ,2025-05-30,8,0.062509375,0.0833425,-0.020833124999999994,Upside,2025-05-21
QQQ_2025-06-06,QQQ,2025-06-06,15,0.062509375,0.062509375,0.0,Upside,2025-05-21
QQQ_2025-06-13,QQQ,2025-06-13,22,0.0520928125,0.062509375,-0.010416562500000004,Upside,2025-05-21
QQQ_2025-06-20,QQQ,2025-06-20,29,0.041676250000000005,0.041676250000000005,0.0,Upside,2025-05-21
QQQ_2025-06-27,QQQ,2025-06-27,36,0.0312596875,0.041676250000000005,-0.010416562500000004,Upside,2025-05-21
QQQ_2025-06-30,QQQ,2025-06-30,39,0.0312596875,0.041676250000000005,-0.010416562500000004,Upside,2025-05-21
QQQ_2025-07-18,QQQ,2025-07-18,57,0.0312596875,0.0312596875,0.0,Upside,2025-05-21
QQQ_2025-07-31,QQQ,2025-07-31,70,0.0312596875,0.0312596875,0.0,Upside,2025-05-21
QQQ_2025-08-15,QQQ,2025-08-15,85,0.0312596875,0.0312596875,0.0,Upside,2025-05-21
QQQ_2025-08-29,QQQ,2025-08-29,99,0.0312596875,0.0312596875,0.0,Upside,2025-05-21
