,ticker,weighted_score,sentiment_score,iv_change,price_change_pct,openInterest_evening,normalized_score,sentiment,trading_date,prev_trading_date,sector
42,CLS,25224.285604679935,0.8343805260866941,-0.6175434782568545,0.6329274915102607,101805.0,2477.7059677501043,BULLISH,2025-05-23,2025-05-22,Technology
106,IONQ,76243.81182250466,0.44260829066242857,-1.2593671199088734,0.44260829066242857,379604.0,2008.5091785783256,BULLISH,2025-05-23,2025-05-22,Technology
189,SCHW,29089.097744360904,0.23692702133777085,-0.29817813120933245,0.10096819222615684,475650.0,611.5651791098687,BULLISH,2025-05-23,2025-05-22,Financials
134,MMM,8633.308627234721,0.09458512567923184,-0.2778570020882801,-0.039823476471305796,173090.0,498.7757020760714,BULLISH,2025-05-23,2025-05-22,Industrials
56,CRWV,6110.4139991463935,0.11513876011204811,-1.4388368245507601,0.11513876011204811,253502.0,241.04007065610503,BULLISH,2025-05-23,2025-05-22,Technology
6,ACN,1615.9340659340655,0.061325771003190345,-0.22524626481874527,-0.061325771003190345,74832.0,215.94158460739598,BULLISH,2025-05-23,2025-05-22,Other
253,XLRE,1054.5225679843008,0.5017483497718989,-0.286092027574019,-0.2350816831052323,48994.0,215.23504265508038,BULLISH,2025-05-23,2025-05-22,Real Estate
50,CPRT,750.0000000000001,0.17281105990783413,-0.20440054252659667,-0.17281105990783413,41074.0,182.5972634756781,BULLISH,2025-05-23,2025-05-22,Auto Services
25,BKNG,681.5177478580172,0.12023954619936789,-0.23402798424563273,0.12023954619936789,37723.0,180.66371917875492,BULLISH,2025-05-23,2025-05-22,Travel
216,TM,399.99999999999994,0.2525252525252525,-0.21221890782269565,-0.2525252525252525,25376.0,157.62925598991168,BULLISH,2025-05-23,2025-05-22,Auto Manufacturing
24,BILL,1039.6841285049782,0.05891310781060862,-0.38363725174023444,-0.05891310781060862,79828.0,130.24053320952274,BULLISH,2025-05-23,2025-05-22,Software
167,PLD,552.5245952039356,-0.030208975180439177,-0.2151159956249153,0.10445687854275354,70312.0,78.58183456649444,BULLISH,2025-05-23,2025-05-22,REITs
254,XLU,4526.129101714394,0.0703977999268075,-0.2732881279044694,0.016627788928396177,664147.0,68.149507589651,BULLISH,2025-05-23,2025-05-22,Utilities
124,LUMN,2918.787878787877,0.030589809769620478,-1.48339645418474,-0.030589809769620478,492654.0,59.246202787105695,BULLISH,2025-05-23,2025-05-22,Telecom
232,UNP,605.6897988334721,-0.0665522475074282,-0.17351215231484116,0.0665522475074282,102624.0,59.02028753834113,BULLISH,2025-05-23,2025-05-22,Rail
206,SPOT,633.4736842105264,0.021028870143756682,-0.39238425961683887,-0.021028870143756682,111158.0,56.98858239717577,BULLISH,2025-05-23,2025-05-22,Streaming
125,LYV,411.3879003558719,0.25776184232824056,-0.1974821157970763,0.25776184232824056,72940.0,56.400863772398125,BULLISH,2025-05-23,2025-05-22,Entertainment
105,INTU,480.3937964322761,0.234246967920313,-0.26104776804183066,-0.1368648289502723,89529.0,53.657898159509884,BULLISH,2025-05-23,2025-05-22,Software
26,BLK,146.7302175107331,0.11436493960306555,-0.19149664483050305,0.03693486324870649,35620.0,41.19321097999244,BULLISH,2025-05-23,2025-05-22,Financials
119,LIN,85.71428571428571,0.04590801215622684,-0.13337340446259396,-0.12483757691605545,31050.0,27.605244996549338,BULLISH,2025-05-23,2025-05-22,Materials
133,META,4523.955568102323,0.04070185498959787,-0.34403781241167664,-0.034004347688001674,1944013.0,23.271220758823745,BULLISH,2025-05-23,2025-05-22,Technology
55,CRWD,678.3216783216784,0.03959846341632682,-0.46745987979378956,-0.03959846341632682,360398.0,18.8214606718594,BULLISH,2025-05-23,2025-05-22,Software
17,AVGO,3431.6365106511657,0.05338763319159027,-0.3289284690504395,0.05338763319159027,1979409.0,17.336672262534755,BULLISH,2025-05-23,2025-05-22,Semiconductor
121,LMT,153.31828677254612,0.021409416979360645,-0.2064937722117106,-0.021409416979360645,94484.0,16.226904742871398,BULLISH,2025-05-23,2025-05-22,Aerospace
83,FTNT,202.5531914893617,0.17203869969164554,-0.3363625726660575,0.09518186955553347,145762.0,13.89615890899972,BULLISH,2025-05-23,2025-05-22,Software
68,DIS,1221.059143776293,0.0710124538398542,-0.3624574088316859,0.0710124538398542,910369.0,13.412793535108214,BULLISH,2025-05-23,2025-05-22,Entertainment
200,SNOW,625.4107635277416,0.1979498359807639,-0.4941278068429062,-0.19439723800526093,487249.0,12.835547400358779,BULLISH,2025-05-23,2025-05-22,Software
163,PEP,400.0,0.5602240896358543,-0.26735686392776103,0.5602240896358543,367673.0,10.879232361364583,BULLISH,2025-05-23,2025-05-22,Consumer Goods
235,V,283.6276438870265,0.038846857198344076,-0.23630993238604286,0.020180574499276006,303738.0,9.337904506088355,BULLISH,2025-05-23,2025-05-22,Financials
126,MA,122.73066710919349,0.07001508787590936,-0.20621056524846745,0.07001508787590936,140691.0,8.723419913796441,BULLISH,2025-05-23,2025-05-22,Financials
177,RBLX,1532.1212121212118,0.09912792521488172,-0.5411379029448136,0.09912792521488172,1882816.0,8.137392140927268,BULLISH,2025-05-23,2025-05-22,Gaming
178,RCL,91.332847778587,0.02950027383029296,-0.2972906388520825,0.02950027383029296,135747.0,6.728166941338445,BULLISH,2025-05-23,2025-05-22,Cruise Lines
237,VKTX,104.82180293501047,0.02653716530000265,-0.7345538822809533,-0.02653716530000265,162729.0,6.441494935445463,BULLISH,2025-05-23,2025-05-22,Biotech
140,MSTR,1136.1298196810521,0.05113705676969269,-0.6056766782285572,-0.034873700836636,1867733.0,6.0829348717458664,BULLISH,2025-05-23,2025-05-22,Crypto
226,TWLO,70.58823529411764,0.08714596949891067,-0.4295507596976198,-0.08714596949891067,116621.0,6.0527894027763125,BULLISH,2025-05-23,2025-05-22,Software
48,COST,130.0,0.028496273564226217,-0.2610520337117591,-0.028496273564226217,245468.0,5.2960059967083275,BULLISH,2025-05-23,2025-05-22,Retail
246,XBI,306.04153555695405,0.047476674790189265,-0.24571910627429117,-0.11431623029130643,612450.0,4.997004417617014,BULLISH,2025-05-23,2025-05-22,Biotech
3,ABNB,147.14151827553894,0.016258731301164522,-0.3664957152730194,0.016258731301164522,308495.0,4.769656502553978,BULLISH,2025-05-23,2025-05-22,Travel & Leisure
109,ISRG,35.13650348560971,0.013757440675649846,-0.281309690003003,0.013757440675649846,75761.0,4.637808831141314,BULLISH,2025-05-23,2025-05-22,Healthcare
