,ticker,expiration,dte,put_iv,call_iv,skew,skew_direction
SPY_2025-05-07,SPY,2025-05-07,0,0.3118558398437499,0.3020903125,0.009765527343749913,Downside
SPY_2025-05-08,SPY,2025-05-08,1,0.299486171875,0.252611640625,0.04687453124999996,Downside
SPY_2025-05-09,SPY,2025-05-09,2,0.29281306152343745,0.20280745117187496,0.09000561035156249,Downside
SPY_2025-05-12,SPY,2025-05-12,5,0.24781025634765622,0.18034673828125003,0.06746351806640619,Downside
SPY_2025-05-13,SPY,2025-05-13,6,0.2586337158203125,0.17741708007812504,0.08121663574218749,Downside
SPY_2025-05-14,SPY,2025-05-14,7,0.262702685546875,0.1749756982421875,0.08772698730468748,Downside
SPY_2025-05-15,SPY,2025-05-15,8,0.2657951025390625,0.17456880126953125,0.09122630126953127,Downside
SPY_2025-05-16,SPY,2025-05-16,9,0.2669751037597656,0.1662681030273438,0.10070700073242178,Downside
SPY_2025-05-23,SPY,2025-05-23,16,0.256416127319336,0.16122258056640626,0.09519354675292974,Downside
SPY_2025-05-30,SPY,2025-05-30,23,0.24660991027832035,0.15947292358398438,0.08713698669433598,Downside
SPY_2025-06-06,SPY,2025-06-06,30,0.2430495617675781,0.15880154357910156,0.08424801818847655,Downside
SPY_2025-06-13,SPY,2025-06-13,37,0.2399367999267578,0.1608055111694336,0.0791312887573242,Downside
SPY_2025-06-20,SPY,2025-06-20,44,0.23943835113525389,0.1660036199951172,0.07343473114013668,Downside
SPY_2025-06-30,SPY,2025-06-30,54,0.2344538632202148,0.16392844543457033,0.07052541778564447,Downside
SPY_2025-07-18,SPY,2025-07-18,72,0.2365036067199707,0.16895362304687503,0.06754998367309567,Downside
SPY_2025-07-31,SPY,2025-07-31,85,0.22788247711181642,0.18140467041015626,0.04647780670166016,Downside
SPY_2025-08-15,SPY,2025-08-15,100,0.2245103184509277,0.18007716903686521,0.044433149414062484,Downside
SPY_2025-08-29,SPY,2025-08-29,114,0.2256140264892578,0.19258416473388673,0.033029861755371065,Downside
SPY_2025-09-19,SPY,2025-09-19,135,0.22143824630737305,0.18795571166992187,0.03348253463745118,Downside
SPY_2025-09-30,SPY,2025-09-30,146,0.2156653955078125,0.19453218399047853,0.021133211517333966,Downside
SPY_2025-10-31,SPY,2025-10-31,177,0.2118507363891601,0.18513032081604006,0.02672041557312005,Downside
SPY_2025-12-19,SPY,2025-12-19,226,0.20851163810729978,0.2013731393432617,0.007138498764038076,Downside
SPY_2025-12-31,SPY,2025-12-31,238,0.2064364635467529,0.20596344581603998,0.00047301773071292685,Downside
SPY_2026-01-16,SPY,2026-01-16,254,0.2044884442901611,0.20092300956726072,0.0035654347229003847,Downside
SPY_2026-03-20,SPY,2026-03-20,317,0.19850960189819333,0.20762155097961424,-0.009111949081420906,Upside
SPY_2026-03-31,SPY,2026-03-31,328,0.1946593392944336,0.2068815071105957,-0.012222167816162088,Upside
SPY_2026-06-18,SPY,2026-06-18,407,0.19147282737731933,0.21353935882568356,-0.022066531448364235,Upside
SPY_2026-12-18,SPY,2026-12-18,590,0.18208622283935547,0.22520077175140382,-0.043114548912048356,Upside
SPY_2027-01-15,SPY,2027-01-15,618,0.18237105072021484,0.22584799224853513,-0.043476941528320295,Upside
SPY_2027-12-17,SPY,2027-12-17,954,0.17003190002441407,0.24342594146728516,-0.0733940414428711,Upside
QQQ_2025-05-07,QQQ,2025-05-07,0,0.342780009765625,0.30143927734375,0.041340732421875026,Downside
QQQ_2025-05-08,QQQ,2025-05-08,1,0.33415379394531247,0.267259931640625,0.06689386230468747,Downside
QQQ_2025-05-09,QQQ,2025-05-09,2,0.32650413085937496,0.252611640625,0.07389249023437494,Downside
QQQ_2025-05-12,QQQ,2025-05-12,5,0.2775951147460937,0.231452998046875,0.04614211669921872,Downside
QQQ_2025-05-13,QQQ,2025-05-13,6,0.2890696093749999,0.2286860986328125,0.060383510742187424,Downside
QQQ_2025-05-14,QQQ,2025-05-14,7,0.29285375122070306,0.22469850830078122,0.06815524291992184,Downside
QQQ_2025-05-15,QQQ,2025-05-15,8,0.2988554815673828,0.2226640234375,0.07619145812988279,Downside
QQQ_2025-05-16,QQQ,2025-05-16,9,0.2999337585449218,0.2125322888183594,0.08740146972656243,Downside
QQQ_2025-05-23,QQQ,2025-05-23,16,0.28908995422363276,0.2067746966552734,0.08231525756835936,Downside
QQQ_2025-05-30,QQQ,2025-05-30,23,0.28089098022460934,0.20720193847656246,0.07368904174804689,Downside
QQQ_2025-06-06,QQQ,2025-06-06,30,0.27768666656494134,0.20463848754882807,0.07304817901611327,Downside
QQQ_2025-06-13,QQQ,2025-06-13,37,0.27440097351074216,0.20715107635498042,0.06724989715576174,Downside
QQQ_2025-06-20,QQQ,2025-06-20,44,0.27131872894287107,0.21137263244628904,0.05994609649658203,Downside
QQQ_2025-06-30,QQQ,2025-06-30,54,0.2661714822387695,0.2150550500488281,0.05111643218994141,Downside
QQQ_2025-07-18,QQQ,2025-07-18,72,0.27175105697631835,0.21964281341552735,0.052108243560790996,Downside
QQQ_2025-07-31,QQQ,2025-07-31,85,0.2636995831298828,0.22584290603637694,0.03785667709350585,Downside
QQQ_2025-08-15,QQQ,2025-08-15,100,0.2659731199645996,0.23143773941040038,0.03453538055419922,Downside
QQQ_2025-08-29,QQQ,2025-08-29,114,0.26487958435058595,0.23785653915405272,0.02702304519653323,Downside
QQQ_2025-09-19,QQQ,2025-09-19,135,0.2581352670288086,0.2408980940246582,0.017237173004150425,Downside
QQQ_2025-09-30,QQQ,2025-09-30,146,0.2511213804626465,0.24847655014038084,0.0026448303222656455,Downside
QQQ_2025-11-21,QQQ,2025-11-21,198,0.24906655075073245,0.253338968963623,-0.004272418212890566,Upside
QQQ_2025-12-19,QQQ,2025-12-19,226,0.16576456802368164,0.26007820007324217,-0.09431363204956053,Upside
QQQ_2025-12-31,QQQ,2025-12-31,238,0.24239089729309082,0.26162440856933594,-0.01923351127624512,Upside
QQQ_2026-01-16,QQQ,2026-01-16,254,0.16249921981811521,0.17796384788513184,-0.015464628067016623,Upside
QQQ_2026-03-20,QQQ,2026-03-20,317,0.23234054206848143,0.26414462669372557,-0.031804084625244144,Upside
QQQ_2026-03-31,QQQ,2026-03-31,328,0.23447929428100586,0.26597820617675777,-0.03149891189575191,Upside
QQQ_2026-06-18,QQQ,2026-06-18,407,0.2846268030548096,0.2844436994171142,0.00018310363769535876,Downside
QQQ_2026-09-18,QQQ,2026-09-18,499,0.2196199254608154,0.2847666738891601,-0.0651467484283447,Upside
QQQ_2026-12-18,QQQ,2026-12-18,590,0.21208978836059567,0.28570508003234857,-0.0736152916717529,Upside
QQQ_2027-01-15,QQQ,2027-01-15,618,0.21448793739318847,0.28764038375854484,-0.07315244636535637,Upside
QQQ_2027-06-17,QQQ,2027-06-17,771,0.2203014778900146,0.29838246383666994,-0.07808098594665533,Upside
QQQ_2027-12-17,QQQ,2027-12-17,954,0.20314568428039548,0.2997353962707519,-0.09658971199035643,Upside
IWM_2025-05-07,IWM,2025-05-07,0,0.39649041015625003,0.36784486328124993,0.028645546875000094,Downside
IWM_2025-05-08,IWM,2025-05-08,1,0.3668683105468749,0.325527578125,0.041340732421874915,Downside
IWM_2025-05-09,IWM,2025-05-09,2,0.342780009765625,0.3020903124999999,0.0406896972656251,Downside
