,ticker,expiration,dte,put_iv,call_iv,skew,skew_direction
SPY_2025-05-13,SPY,2025-05-13,0,0.330735859375,0.33008482421874996,0.0006510351562500349,Downside
SPY_2025-05-14,SPY,2025-05-14,1,0.307624111328125,0.278978564453125,0.028645546874999983,Downside
SPY_2025-05-15,SPY,2025-05-15,2,0.2976144458007812,0.25065853515625,0.04695591064453125,Downside
SPY_2025-05-16,SPY,2025-05-16,3,0.2896392651367187,0.21794401855468748,0.07169524658203125,Downside
SPY_2025-05-23,SPY,2025-05-23,10,0.25381198669433597,0.17229017822265627,0.0815218084716797,Downside
SPY_2025-05-30,SPY,2025-05-30,17,0.24099473205566405,0.16348085876464846,0.07751387329101558,Downside
SPY_2025-06-06,SPY,2025-06-06,24,0.23725127990722653,0.16140568420410156,0.07584559570312496,Downside
SPY_2025-06-13,SPY,2025-06-13,31,0.23332472412109373,0.16315534118652344,0.07016938293457028,Downside
SPY_2025-06-20,SPY,2025-06-20,38,0.23206334350585936,0.16553568847656253,0.06652765502929683,Downside
SPY_2025-06-30,SPY,2025-06-30,48,0.22654480331420898,0.16217878845214845,0.06436601486206053,Downside
SPY_2025-07-18,SPY,2025-07-18,66,0.2295304098510742,0.1673768972778321,0.062153512573242115,Downside
SPY_2025-07-31,SPY,2025-07-31,79,0.22066005584716794,0.17798673583984373,0.04267332000732421,Downside
SPY_2025-08-15,SPY,2025-08-15,94,0.21751169052124023,0.17841906387329098,0.03909262664794924,Downside
SPY_2025-08-29,SPY,2025-08-29,108,0.22002936553955074,0.18974605834960942,0.030283307189941322,Downside
SPY_2025-09-19,SPY,2025-09-19,129,0.2167080690002441,0.1867451931762695,0.02996287582397461,Downside
SPY_2025-09-30,SPY,2025-09-30,140,0.21034013137817378,0.1921670953369141,0.018173036041259694,Downside
SPY_2025-10-31,SPY,2025-10-31,171,0.20737486968994134,0.1846089840698242,0.022765885620117138,Downside
SPY_2025-12-19,SPY,2025-12-19,220,0.20591258369445797,0.20165796722412108,0.004254616470336897,Downside
SPY_2025-12-31,SPY,2025-12-31,232,0.20115443222045895,0.205462453918457,-0.0043080216979980435,Upside
SPY_2026-01-16,SPY,2026-01-16,248,0.20226322647094727,0.20155878608703612,0.0007044403839111535,Downside
SPY_2026-03-20,SPY,2026-03-20,311,0.19689218643188475,0.2084480604553222,-0.01155587402343744,Upside
SPY_2026-03-31,SPY,2026-03-31,322,0.19245955253601077,0.20777413734436034,-0.015314584808349574,Upside
SPY_2026-06-18,SPY,2026-06-18,401,0.19026993820190433,0.21450319602966306,-0.02423325782775873,Upside
SPY_2026-12-18,SPY,2026-12-18,584,0.18092656646728514,0.22586833709716791,-0.04494177062988278,Upside
SPY_2027-01-15,SPY,2027-01-15,612,0.18132329101562497,0.2262726909637451,-0.04494939994812014,Upside
SPY_2027-12-17,SPY,2027-12-17,948,0.169341446723938,0.24476742992401124,-0.07542598320007324,Upside
QQQ_2025-05-13,QQQ,2025-05-13,0,0.3684958984375,0.38249315429687497,-0.013997255859374946,Upside
QQQ_2025-05-14,QQQ,2025-05-14,1,0.3367579345703125,0.33350275878906244,0.0032551757812500637,Downside
QQQ_2025-05-15,QQQ,2025-05-15,2,0.3302475830078125,0.30615928222656247,0.024088300781250016,Downside
QQQ_2025-05-16,QQQ,2025-05-16,3,0.3289455126953125,0.27653718261718746,0.052408330078125065,Downside
QQQ_2025-05-23,QQQ,2025-05-23,10,0.29415582153320313,0.2290116162109375,0.06514420532226564,Downside
QQQ_2025-05-30,QQQ,2025-05-30,17,0.2827830511474609,0.21759815612792965,0.06518489501953123,Downside
QQQ_2025-06-06,QQQ,2025-06-06,24,0.2765982171630859,0.21336642761230465,0.06323178955078126,Downside
