,ticker,expiration,dte,put_iv,call_iv,skew,skew_direction
SPY_2025-05-13,SPY,2025-05-13,0,0.12500875,0.166675,-0.04166624999999999,Upside
SPY_2025-05-14,SPY,2025-05-14,1,0.12500875,0.12500875,0.0,Upside
SPY_2025-05-15,SPY,2025-05-15,2,0.12500875,0.12500875,0.0,Upside
SPY_2025-05-16,SPY,2025-05-16,3,0.12500875,0.12500875,0.0,Upside
SPY_2025-05-19,SPY,2025-05-19,6,0.062509375,0.0833425,-0.020833124999999994,Upside
SPY_2025-05-20,SPY,2025-05-20,7,0.062509375,0.0833425,-0.020833124999999994,Upside
SPY_2025-05-21,SPY,2025-05-21,8,0.062509375,0.062509375,0.0,Upside
SPY_2025-05-22,SPY,2025-05-22,9,0.062509375,0.062509375,0.0,Upside
SPY_2025-05-23,SPY,2025-05-23,10,0.062509375,0.062509375,0.0,Upside
SPY_2025-05-30,SPY,2025-05-30,17,0.062509375,0.062509375,0.0,Upside
SPY_2025-06-06,SPY,2025-06-06,24,0.0312596875,0.0520928125,-0.020833125,Upside
SPY_2025-06-13,SPY,2025-06-13,31,0.0312596875,0.041676250000000005,-0.010416562500000004,Upside
SPY_2025-06-20,SPY,2025-06-20,38,0.0312596875,0.0312596875,0.0,Upside
SPY_2025-06-27,SPY,2025-06-27,45,0.0312596875,0.0312596875,0.0,Upside
SPY_2025-06-30,SPY,2025-06-30,48,0.0312596875,0.0312596875,0.0,Upside
SPY_2025-07-18,SPY,2025-07-18,66,0.0312596875,0.0312596875,0.0,Upside
SPY_2025-07-31,SPY,2025-07-31,79,0.0312596875,0.0312596875,0.0,Upside
SPY_2025-08-15,SPY,2025-08-15,94,0.026051406250000003,0.026051406250000003,0.0,Upside
SPY_2025-08-29,SPY,2025-08-29,108,0.015634843750000002,0.015634843750000002,0.0,Upside
SPY_2025-09-19,SPY,2025-09-19,129,0.026051406250000003,0.020843125,0.005208281250000002,Downside
SPY_2025-09-30,SPY,2025-09-30,140,0.015634843750000002,0.020843125,-0.0052082812499999985,Upside
SPY_2025-10-31,SPY,2025-10-31,171,0.015634843750000002,0.015634843750000002,0.0,Upside
SPY_2025-12-19,SPY,2025-12-19,220,0.015634843750000002,0.015634843750000002,0.0,Upside
SPY_2025-12-31,SPY,2025-12-31,232,0.015634843750000002,0.015634843750000002,0.0,Upside
SPY_2026-01-16,SPY,2026-01-16,248,0.015634843750000002,0.015634843750000002,0.0,Upside
SPY_2026-03-20,SPY,2026-03-20,311,0.015634843750000002,0.015634843750000002,0.0,Upside
SPY_2026-03-31,SPY,2026-03-31,322,0.015634843750000002,0.015634843750000002,0.0,Upside
SPY_2026-06-18,SPY,2026-06-18,401,0.015634843750000002,0.013030703125000001,0.002604140625000001,Downside
SPY_2026-12-18,SPY,2026-12-18,584,0.013030703125000001,0.0104265625,0.002604140625000001,Downside
SPY_2027-01-15,SPY,2027-01-15,612,0.013030703125000001,0.007822421875,0.00520828125,Downside
SPY_2027-12-17,SPY,2027-12-17,948,0.007822421875,0.007822421875,0.0,Upside
QQQ_2025-05-13,QQQ,2025-05-13,0,0.12500875,0.166675,-0.04166624999999999,Upside
QQQ_2025-05-14,QQQ,2025-05-14,1,0.12500875,0.12500875,0.0,Upside
QQQ_2025-05-15,QQQ,2025-05-15,2,0.12500875,0.12500875,0.0,Upside
QQQ_2025-05-16,QQQ,2025-05-16,3,0.12500875,0.12500875,0.0,Upside
QQQ_2025-05-19,QQQ,2025-05-19,6,0.062509375,0.0833425,-0.020833124999999994,Upside
QQQ_2025-05-20,QQQ,2025-05-20,7,0.062509375,0.0833425,-0.020833124999999994,Upside
QQQ_2025-05-21,QQQ,2025-05-21,8,0.062509375,0.062509375,0.0,Upside
QQQ_2025-05-22,QQQ,2025-05-22,9,0.062509375,0.062509375,0.0,Upside
QQQ_2025-05-23,QQQ,2025-05-23,10,0.062509375,0.062509375,0.0,Upside
QQQ_2025-05-30,QQQ,2025-05-30,17,0.062509375,0.062509375,0.0,Upside
QQQ_2025-06-06,QQQ,2025-06-06,24,0.041676250000000005,0.0520928125,-0.010416562499999997,Upside
QQQ_2025-06-13,QQQ,2025-06-13,31,0.0312596875,0.041676250000000005,-0.010416562500000004,Upside
QQQ_2025-06-20,QQQ,2025-06-20,38,0.0312596875,0.0312596875,0.0,Upside
QQQ_2025-06-27,QQQ,2025-06-27,45,0.0312596875,0.0312596875,0.0,Upside
QQQ_2025-06-30,QQQ,2025-06-30,48,0.0312596875,0.0312596875,0.0,Upside
QQQ_2025-07-18,QQQ,2025-07-18,66,0.0312596875,0.0312596875,0.0,Upside
QQQ_2025-07-31,QQQ,2025-07-31,79,0.0312596875,0.0312596875,0.0,Upside
QQQ_2025-08-15,QQQ,2025-08-15,94,0.0312596875,0.026051406250000003,0.0052082812499999985,Downside
QQQ_2025-08-29,QQQ,2025-08-29,108,0.0312596875,0.026051406250000003,0.0052082812499999985,Downside
QQQ_2025-09-19,QQQ,2025-09-19,129,0.026051406250000003,0.020843125,0.005208281250000002,Downside
QQQ_2025-09-30,QQQ,2025-09-30,140,0.015634843750000002,0.015634843750000002,0.0,Upside
QQQ_2025-11-21,QQQ,2025-11-21,192,0.020843125,0.015634843750000002,0.0052082812499999985,Downside
QQQ_2025-12-19,QQQ,2025-12-19,220,0.2331365342712403,0.015634843750000002,0.2175016905212403,Downside
QQQ_2025-12-31,QQQ,2025-12-31,232,0.015634843750000002,0.015634843750000002,0.0,Upside
QQQ_2026-01-16,QQQ,2026-01-16,248,0.015634843750000002,0.015634843750000002,0.0,Upside
QQQ_2026-03-20,QQQ,2026-03-20,311,0.015634843750000002,0.015634843750000002,0.0,Upside
QQQ_2026-03-31,QQQ,2026-03-31,322,0.015634843750000002,0.015634843750000002,0.0,Upside
QQQ_2026-06-18,QQQ,2026-06-18,401,0.015634843750000002,0.0104265625,0.005208281250000002,Downside
QQQ_2026-09-18,QQQ,2026-09-18,493,0.013030703125000001,0.0104265625,0.002604140625000001,Downside
QQQ_2026-12-18,QQQ,2026-12-18,584,0.0104265625,0.007822421875,0.0026041406249999993,Downside
QQQ_2027-01-15,QQQ,2027-01-15,612,0.013030703125000001,0.0104265625,0.002604140625000001,Downside
QQQ_2027-06-17,QQQ,2027-06-17,765,0.0104265625,0.007822421875,0.0026041406249999993,Downside
QQQ_2027-12-17,QQQ,2027-12-17,948,0.007822421875,0.007822421875,0.0,Upside
IWM_2025-05-13,IWM,2025-05-13,0,0.20834125,0.166675,0.041666250000000016,Downside
IWM_2025-05-14,IWM,2025-05-14,1,0.12500875,0.12500875,0.0,Upside
IWM_2025-05-15,IWM,2025-05-15,2,0.12500875,0.12500875,0.0,Upside
IWM_2025-05-16,IWM,2025-05-16,3,0.12500875,0.12500875,0.0,Upside
IWM_2025-05-19,IWM,2025-05-19,6,0.104175625,0.0937590625,0.01041656249999999,Downside
IWM_2025-05-20,IWM,2025-05-20,7,0.0833425,0.0937590625,-0.010416562500000004,Upside
IWM_2025-05-21,IWM,2025-05-21,8,0.062509375,0.0937590625,-0.031249687499999998,Upside
IWM_2025-05-22,IWM,2025-05-22,9,0.062509375,0.062509375,0.0,Upside
IWM_2025-05-23,IWM,2025-05-23,10,0.062509375,0.062509375,0.0,Upside
IWM_2025-05-30,IWM,2025-05-30,17,0.062509375,0.0833425,-0.020833124999999994,Upside
IWM_2025-06-06,IWM,2025-06-06,24,0.062509375,0.062509375,0.0,Upside
IWM_2025-06-13,IWM,2025-06-13,31,0.041676250000000005,0.0520928125,-0.010416562499999997,Upside
IWM_2025-06-20,IWM,2025-06-20,38,0.0312596875,0.0312596875,0.0,Upside
IWM_2025-06-27,IWM,2025-06-27,45,0.0312596875,0.0520928125,-0.020833125,Upside
IWM_2025-06-30,IWM,2025-06-30,48,0.0312596875,0.0312596875,0.0,Upside
IWM_2025-07-18,IWM,2025-07-18,66,0.0312596875,0.041676250000000005,-0.010416562500000004,Upside
IWM_2025-08-15,IWM,2025-08-15,94,0.0312596875,0.0312596875,0.0,Upside
IWM_2025-09-19,IWM,2025-09-19,129,0.0312596875,0.026051406250000003,0.0052082812499999985,Downside
IWM_2025-09-30,IWM,2025-09-30,140,0.020843125,0.020843125,0.0,Upside
IWM_2025-10-17,IWM,2025-10-17,157,0.015634843750000002,0.026051406250000003,-0.0104165625,Upside
IWM_2025-11-21,IWM,2025-11-21,192,0.015634843750000002,0.026051406250000003,-0.0104165625,Upside
IWM_2025-12-19,IWM,2025-12-19,220,0.026051406250000003,0.015634843750000002,0.0104165625,Downside
IWM_2025-12-31,IWM,2025-12-31,232,0.026051406250000003,0.015634843750000002,0.0104165625,Downside
IWM_2026-01-16,IWM,2026-01-16,248,0.015634843750000002,0.015634843750000002,0.0,Upside
IWM_2026-03-20,IWM,2026-03-20,311,0.026051406250000003,0.020843125,0.005208281250000002,Downside
IWM_2026-03-31,IWM,2026-03-31,322,0.015634843750000002,0.020843125,-0.0052082812499999985,Upside
IWM_2026-06-18,IWM,2026-06-18,401,0.020843125,0.015634843750000002,0.0052082812499999985,Downside
IWM_2026-09-18,IWM,2026-09-18,493,0.020843125,0.013030703125000001,0.0078124218749999995,Downside
IWM_2026-12-18,IWM,2026-12-18,584,0.015634843750000002,0.013030703125000001,0.002604140625000001,Downside
